date,metrics,Close,count,filter_count
2020-01-01,-4.604142938225135e-05,7200.174316,8317,3658
2020-01-02,1.3132894837771104e-06,6985.470215,9861,4245
2020-01-03,1.6925647741993875e-06,7344.884277,10988,4687
2020-01-04,-3.3412203608495425e-05,7410.656738,9404,4132
2020-01-05,-3.852588606499384e-05,7411.317383,9094,3821
2020-01-06,1.036596823100224e-06,7769.219238,10978,4891
2020-01-07,-1.9672629702859443e-06,8163.692383,11281,4842
2020-01-08,5.15828932071437e-07,8079.862793,11604,5104
2020-01-09,3.319226784634298e-06,7879.071289,10331,4368
2020-01-10,1.801837847307657e-06,8166.554199,10331,4228
2020-01-11,-5.031630788732932e-07,8037.537598,8886,3628
2020-01-12,8.188411777465973e-06,8192.494141,8516,3364
2020-01-13,1.3840411833447888e-06,8144.194336,10276,4477
2020-01-14,2.4426189778999478e-06,8827.764648,13388,5755
2020-01-15,1.4298291888122943e-06,8807.010742,11642,5069
2020-01-16,1.3894463248780235e-05,8723.786133,11060,4510
2020-01-17,4.710331826362856e-07,8929.038086,10704,4435
2020-01-18,1.3792238097799851e-06,8942.808594,9410,3680
2020-01-19,-3.6909387197926395e-06,8706.245117,10395,4110
2020-01-20,1.7987527416850462e-06,8657.642578,10895,4472
2020-01-21,-1.6393181934187422e-07,8745.894531,10665,4417
2020-01-22,-8.869173153022629e-06,8680.875977,10451,4461
2020-01-23,-4.897348956030144e-05,8406.515625,10901,4758
2020-01-24,6.63075978906709e-06,8445.43457,10795,4649
2020-01-25,3.527590328581749e-08,8367.847656,8962,3657
2020-01-26,-2.147985967431794e-05,8596.830078,8960,3734
2020-01-27,5.866247764361968e-07,8909.819336,11965,5292
2020-01-28,3.0120464414851397e-06,9358.589844,12504,5659
2020-01-29,-2.6697738784820216e-06,9316.629883,12465,5389
2020-01-30,2.9268326722780775e-07,9508.993164,11118,4801
2020-01-31,1.0774114222017495e-06,9350.529297,11258,5016
2020-02-01,1.1921495143855931e-06,9392.875,8636,3685
2020-02-02,1.2817517642357082e-06,9344.365234,13107,4462
2020-02-03,1.7090667685654057e-06,9293.521484,12220,5106
2020-02-04,-1.2506529632714867e-05,9180.962891,12110,5169
2020-02-05,1.9765524514414023e-06,9613.423828,12670,5427
2020-02-06,1.727614577309754e-06,9729.801758,12292,5386
2020-02-07,2.002660554946357e-06,9795.943359,10780,4692
2020-02-08,5.709935089755394e-06,9865.119141,9588,3954
2020-02-09,-1.2356075641539607e-06,10116.673828,13297,5465
2020-02-10,1.3952852850902548e-06,9856.611328,11748,5279
2020-02-11,9.221215240731881e-06,10208.236328,12629,5293
2020-02-12,3.95123824769986e-06,10326.054688,12373,5425
2020-02-13,-4.257476441225621e-07,10214.379883,12216,5112
2020-02-14,3.720821775115002e-06,10312.116211,12102,4776
2020-02-15,9.978236803758583e-07,9889.424805,10476,4297
2020-02-16,8.686152336330958e-07,9934.433594,10639,3986
2020-02-17,1.3479719605459049e-06,9690.142578,11664,5029
2020-02-18,1.8653549280139137e-06,10141.996094,12296,5285
2020-02-19,4.3184772583542534e-06,9633.386719,12946,5467
2020-02-20,9.613665099223155e-07,9608.475586,12983,5545
2020-02-21,-3.2287259665379863e-06,9686.441406,11474,4896
2020-02-22,8.616842086075478e-06,9663.181641,8867,3548
2020-02-23,-2.569210131050987e-07,9924.515625,9044,3558
2020-02-24,8.146005677780001e-06,9650.174805,12270,4840
2020-02-25,-2.428074366005228e-05,9341.705078,11810,4782
2020-02-26,2.1196186155481704e-06,8820.522461,13171,5918
