full_text,label
"Do you think #Bitcoin will be the world’s reserve asset one day?

No           Maybe         Yes
👇            👇                👇",0
#Bitcoin and #crypto are the best financial opportunities of our lifetimes.,0
How is #crypto Twitter doing this fine morning?,0
"#Bitcoin $50,000 next week?",1
#Bitcoin bouncing 🚀,1
"Drop a comment if you’ve been orange-pilled!

#Bitcoin",0
"On-chain analytics show that a substantial amount of #Bitcoin whale holdings lie between the $38,000 and $42,000 range. 🐳",1
#Bitcoin on the move 🚀 (as predicted),1
How high will #Bitcoin soar this week? 🚀🌙,0
"THE #BITCOIN PRICE WILL FLIP!!!!!!!! 🚀
https://t.co/7pfgqgJd6q",1
#Bitcoin’s on its way to The Moon! 🌙,1
"#BITCOIN UPDATE!!!
https://t.co/R2pTEpPRrC",0
"#Bitcoin testing $40,000 again.",1
Do you hold one whole #Bitcoin?,0
"#Bitcoin is dipping below $40,000 again! 😳",1
"According to the $AMC CEO, the AMC mobile app for AMC’s U.S. theatres now accepts online payments using Doge Coin, Shiba Inu, and other crypto currencies.",1
"28% of millennials say they are planning to rely on their cryptos to support them in retirement, as per MarketWatch.

What do you think of this?",1
"Jordan Belfort, the inspiration for “The Wolf of Wall Street,” is now marketing himself as a cryptocurrency guru. His course costs roughly $40,000.

He was charged for securities fraud in 1999.",0
"A severe recession could lead to a drop of about 30% for the S&amp;P 500 index from its late March high of around 4,600, analysts at Citigroup, $C, said,",1
"The SEC is looking to update insider trading rules, saying there are ""too many gaps.""",0
"#Bitcoin briefly hit $42,069 today on 4/20.

https://t.co/0lA4JMuano",1
"🚨HAPPENING NOW🚨

Discussing $TSLA earnings and waiting the call.

Join below.

https://t.co/5XxOfc8t2m",0
The value of Tesla’s #bitcoin  holdings remained unchanged at $1.26 billion.,1
"The U.S. Treasury has imposed sanctions on #bitcoin miner BitRiver, targeting one of the industry’s largest data-center service providers over its operations in Russia.",1
"Morgan Stanley, $MS, has said that #Bitcoin Lightning is superior to Visa, $V, and Mastercard, $MA.",1
